STRAIN	AATT01000295.1	AATT01000296.1	AATT01000297.1	AATT01000298.1	AATT01000299.1	AATT01000300.1	AATT01000301.1	AATT01000302.1	AATT01000303.1	AATT01000306.1	AATT01000307.1	AATT01000308.1	AATT01000309.1	AATT01000310.1	AATT01000314.1	AATT01000315.1	AATT01000316.1	AATT01000317.1	AATT01000318.1	AATT01000319.1	AATT01000320.1	AATT01000321.1	AATT01000322.1	AATT01000323.1	AATT01000324.1	AATT01000325.1	AATT01000326.1	AATT01000327.1	AATT01000328.1	AATT01000329.1	AATT01000330.1	AATT01000331.1	AATT01000332.1	AATT01000333.1	AATT01000334.1	AATT01000335.1	AATT01000338.1	AATT01000339.1	AATT01000340.1	AATT01000341.1	AATT01000342.1	AATT01000343.1	AATT01000344.1	AATT01000345.1	AATT01000346.1	AATT01000347.1	AATT01000348.1	DS022300.1	DS022301.1	DS022302.1	DS022303.1	DS022304.1	DS022305.1	DS022306.1	DS022307.1	DS022308.1	DS022309.1	DS022310.1	DS022311.1	DS022312.1	DS022313.1	DS022314.1	DS022315.1	DS022316.1	DS022317.1	DS022318.1	DS022319.1	DS022320.1	DS022321.1	DS022322.1	TF5a1_Bdvirus
ANS_13No12	123.86	160.39	114.73	490.32	139.40	198.59	203.51	440.93	155.53	125.03	137.25	337.58	138.21	170.57	145.46	110.39	166.19	223.42	154.66	513.01	144.58	118.61	86.24	151.40	141.51	799.63	180.72	768.17	163.63	1011.63	126.66	1000.52	1658.69	80.02	206.52	784.42	235.10	43.96	83.80	138.16	112.03	161.44	1200.14	136.86	23.84	1665.68	1269.49	176.72	191.19	183.73	175.46	174.44	178.02	189.05	182.34	168.78	174.46	174.10	168.53	187.74	402.54	178.96	169.75	123.43	249.59	99.08	100.70	658.65	1541.78	914.09	0.00
ANS_13No4	108.75	155.99	109.05	432.60	112.57	170.61	187.35	308.98	141.60	111.18	114.96	313.34	138.10	150.60	130.44	88.81	156.75	232.69	141.48	817.07	140.51	94.74	79.75	135.33	121.58	539.93	173.82	850.98	136.20	753.78	107.56	1027.60	971.40	70.87	182.54	628.94	213.71	38.69	68.48	107.36	92.72	140.33	1255.84	114.18	20.44	2132.15	1959.54	166.87	180.92	169.44	164.33	162.71	168.55	175.31	172.11	161.89	162.59	160.64	155.40	176.58	378.75	166.12	155.02	114.78	225.30	86.54	86.57	588.37	1282.46	1374.19	0.00
ANS_13No7	104.90	130.75	99.13	497.58	115.09	165.10	180.56	434.50	129.42	111.43	109.40	392.98	114.42	138.87	123.66	93.08	142.56	335.38	144.05	466.17	124.10	100.42	74.24	125.62	109.14	782.00	158.00	1027.87	127.94	1496.45	112.92	1675.08	1449.13	64.13	165.46	1029.87	185.69	43.30	73.69	134.71	98.50	131.51	1156.85	113.97	21.98	2681.79	1663.71	144.72	157.16	151.14	143.44	142.89	147.45	158.12	153.83	139.50	143.13	141.10	136.94	155.36	412.26	144.36	138.83	102.83	257.36	80.66	76.62	647.53	1254.89	659.41	0.15
AP15_IT	184.59	143.37	118.82	303.43	137.54	155.19	131.11	373.49	138.13	124.26	145.11	262.84	121.01	108.15	171.09	101.35	144.18	234.86	86.04	367.08	128.17	116.02	134.48	135.49	134.21	353.43	193.24	517.62	145.23	615.64	89.20	431.02	672.42	89.10	165.07	639.61	198.44	85.31	112.06	144.01	97.55	167.55	880.61	118.74	22.34	882.76	306.35	147.45	172.39	192.45	153.65	155.59	155.04	157.04	158.53	142.75	174.31	149.83	159.34	160.41	235.86	151.19	128.54	152.83	187.97	95.07	97.80	283.10	1492.77	483.35	0.09
APEP_CH	166.82	83.75	64.39	183.15	95.34	134.28	85.89	238.65	90.79	84.44	58.62	152.01	95.37	92.88	117.45	59.90	107.40	107.90	46.49	824.10	78.50	53.25	66.93	75.03	40.43	281.14	112.45	388.48	46.02	260.80	77.35	156.80	152.12	51.96	95.89	404.90	101.26	47.38	98.47	125.18	42.80	100.47	464.97	63.13	41.48	344.24	138.74	93.08	97.57	96.17	94.17	127.37	95.67	97.23	96.73	63.64	120.44	65.46	83.77	92.87	152.49	101.34	65.25	93.92	123.52	57.79	84.75	137.04	361.35	916.77	256.72
AUL_FR	124.17	154.28	116.14	434.65	136.48	199.62	184.02	460.82	153.16	129.03	137.80	397.90	126.37	168.53	146.14	114.06	158.76	351.11	112.77	700.85	136.13	115.96	93.50	144.79	129.69	599.90	182.29	831.22	152.34	1032.12	111.05	1214.97	1004.34	73.10	190.42	880.45	212.67	50.55	92.18	102.74	109.42	148.72	1149.74	122.28	22.92	1878.62	1439.67	160.09	175.63	172.75	161.38	159.94	167.85	173.54	169.99	157.93	161.37	160.30	156.89	176.48	362.19	164.43	159.47	117.57	242.70	98.37	96.89	613.04	1489.43	765.53	0.04
AVS2	87.80	80.24	84.86	283.51	72.88	143.87	97.07	185.90	75.46	62.72	75.67	187.31	89.48	62.94	73.91	52.42	73.16	232.73	37.17	473.66	129.26	58.41	50.53	87.92	62.28	313.07	91.70	877.36	75.62	555.63	44.92	1061.22	1092.68	27.47	87.46	1128.30	117.83	18.52	42.79	35.38	42.71	66.34	699.82	57.00	54.73	1728.23	387.00	81.16	99.20	88.65	81.19	112.42	84.73	85.88	112.26	79.85	81.34	82.03	80.79	89.15	224.12	85.85	58.78	75.53	127.79	59.02	64.98	334.30	674.97	716.29	0.00
AVS4	87.32	80.81	90.62	208.27	87.56	170.79	106.24	150.27	90.24	87.44	105.13	137.44	74.58	72.65	93.33	35.72	73.54	150.05	53.59	616.65	100.66	67.68	52.42	68.88	67.11	213.96	128.42	468.24	81.04	407.46	46.00	1072.94	732.59	24.29	92.58	272.67	118.97	18.45	40.69	37.60	58.62	68.64	807.33	68.63	55.21	1418.81	516.76	81.97	121.51	113.94	83.04	92.01	85.28	94.53	107.69	81.08	82.80	101.03	83.73	90.50	228.70	91.72	77.27	81.57	116.93	60.11	79.47	320.41	835.08	1038.41	0.00
AVS7	48.99	38.93	20.07	85.40	37.24	73.54	50.21	86.47	45.59	44.49	35.96	102.36	33.57	38.29	36.41	22.90	39.42	114.57	16.05	361.64	43.53	33.24	16.48	32.69	33.32	83.79	47.16	153.07	33.54	157.24	23.04	61.75	217.98	22.19	44.34	458.35	49.93	9.84	20.22	22.87	15.76	39.05	271.01	31.09	19.92	218.61	154.48	44.20	49.91	48.76	37.41	42.59	44.87	46.39	51.39	34.17	49.53	44.25	38.76	42.81	75.98	47.46	37.94	43.46	49.12	27.22	36.39	123.69	356.05	649.28	0.00
Acherito.1.2_15	57.96	83.07	55.73	213.51	66.22	110.20	91.54	156.02	78.33	58.94	76.10	149.20	67.26	81.47	68.04	54.14	74.35	94.50	66.89	997.78	68.45	54.49	45.63	76.04	67.25	282.81	90.33	379.96	83.69	484.79	51.37	635.46	704.76	36.13	97.39	285.33	120.85	17.55	49.38	48.18	50.51	81.90	588.89	61.02	11.92	1429.34	1071.12	83.84	89.36	89.45	83.42	82.79	87.54	91.81	88.29	82.54	83.82	84.39	83.20	92.48	220.45	85.67	83.77	59.73	115.79	50.66	48.63	304.52	761.90	1178.17	0.00
Acherito.3.1_15	57.76	82.43	53.49	253.76	65.98	107.49	90.74	191.09	75.58	61.98	73.51	158.33	64.58	87.12	66.26	55.66	73.28	102.94	65.13	810.85	70.40	54.28	48.04	77.06	72.07	324.90	82.29	542.47	83.07	506.36	50.25	665.12	854.40	37.20	100.86	421.42	127.44	18.62	46.41	51.51	49.85	79.42	588.39	61.59	11.22	1282.28	909.72	83.50	90.01	90.73	83.74	83.00	86.74	92.05	89.52	81.93	84.06	85.06	82.81	93.19	220.49	86.75	84.97	60.64	130.73	49.40	50.13	332.57	772.17	902.10	0.00
Acherito.4.1_15	52.45	78.49	51.20	201.71	63.90	98.67	89.52	141.87	72.58	56.82	69.73	141.94	62.60	81.44	62.17	54.08	71.04	95.89	61.29	452.94	65.10	53.56	45.04	70.27	63.39	252.34	79.74	376.80	77.93	430.62	50.38	701.80	622.03	36.25	97.03	270.66	114.42	16.30	44.24	51.64	47.96	83.67	548.32	53.91	10.31	1280.61	939.86	78.71	85.85	84.39	77.47	77.62	81.21	86.61	83.09	77.03	78.71	79.42	77.63	86.91	201.33	80.51	79.10	56.11	110.24	47.11	46.85	257.86	729.21	597.82	0.00
Acherito.5.2_15	44.85	63.67	41.38	164.74	51.77	82.42	74.06	125.77	61.93	48.51	59.02	120.62	52.82	68.70	50.17	44.90	59.87	75.76	50.41	523.08	53.67	43.43	35.67	59.46	56.88	225.99	63.76	250.55	66.71	362.40	40.01	409.19	526.10	28.66	78.13	237.65	101.24	13.23	38.17	42.75	42.53	64.65	440.17	47.11	8.64	909.64	686.80	66.45	70.56	70.56	65.87	65.42	68.88	72.78	69.09	65.22	65.93	66.62	65.51	73.11	161.53	68.86	66.11	47.75	90.81	39.18	38.46	233.39	610.97	671.10	0.00
Acherito.c_15	51.44	71.82	46.81	284.17	57.31	97.08	82.35	178.31	56.35	53.05	67.19	152.23	59.46	73.21	60.37	48.96	66.33	98.31	59.41	759.16	62.62	42.74	40.02	70.14	60.66	332.52	75.33	674.37	71.80	623.44	45.73	967.02	965.14	32.31	85.27	386.62	107.31	15.54	45.94	45.81	43.54	67.89	587.82	50.85	11.24	1993.17	1458.25	74.07	79.94	85.03	73.88	73.90	76.22	81.91	83.35	71.25	74.84	74.56	72.02	81.83	247.96	75.29	72.93	52.08	129.18	44.97	41.91	359.76	682.21	919.11	0.00
Acherito.d_15	56.36	82.15	52.68	201.98	63.67	111.58	93.29	141.86	70.59	58.97	73.21	147.34	65.73	81.57	65.76	53.05	72.95	89.52	66.13	792.45	70.74	50.81	45.26	71.85	67.86	238.96	83.17	354.94	76.97	410.83	48.85	636.38	579.97	36.58	96.33	260.73	117.99	19.09	52.09	47.20	46.75	74.53	552.19	57.50	12.31	1194.47	884.07	80.79	87.61	86.59	81.19	80.23	83.87	89.31	87.58	79.83	80.96	81.57	80.12	91.12	193.18	83.07	81.33	57.95	113.06	48.82	49.88	246.01	756.03	988.77	0.00
Ansabere.6.1_15	54.65	78.23	52.71	179.72	64.43	99.23	88.56	159.54	70.76	58.46	70.80	137.87	64.12	80.08	65.90	55.63	73.45	86.33	59.99	729.73	67.71	50.74	45.05	72.26	67.10	266.68	80.97	266.92	78.48	387.72	46.87	433.26	563.57	35.73	95.69	310.23	118.41	18.02	42.53	50.37	47.89	77.81	520.50	57.21	10.63	798.67	510.85	79.86	85.38	86.23	80.29	80.54	82.56	88.17	84.15	78.46	80.05	80.85	78.97	88.26	181.58	82.69	80.58	58.08	108.42	47.80	49.94	314.31	733.63	898.15	0.00
AoCH15_B	106.21	96.53	76.29	334.91	88.92	118.21	117.00	242.81	83.87	71.28	84.89	203.80	77.68	70.04	64.18	86.54	87.92	199.24	51.94	1632.85	78.04	60.87	86.22	70.25	72.43	398.80	108.73	1015.60	92.00	686.86	58.23	1054.44	1035.62	50.04	74.80	684.10	131.83	20.55	79.08	72.76	45.78	81.44	718.25	67.28	61.91	1764.41	448.68	98.25	121.61	118.71	98.40	96.20	98.94	105.86	105.31	92.33	98.28	96.73	94.90	107.91	245.74	111.76	99.75	98.86	168.82	56.19	69.58	356.50	815.10	1009.62	0.00
Arlet.K_15	53.33	77.15	50.84	283.92	61.04	94.08	86.65	192.98	70.66	53.14	68.11	152.95	68.22	79.44	63.67	71.35	69.88	103.37	56.92	541.89	60.31	50.83	46.58	72.99	66.38	312.86	76.44	646.49	72.63	599.90	45.02	1000.20	993.97	32.98	89.06	476.45	104.48	16.08	43.17	44.67	44.39	71.10	628.10	56.15	10.00	1801.53	1153.38	77.86	85.47	84.77	76.42	83.49	77.69	85.52	85.00	72.53	78.45	78.09	76.12	87.11	261.60	80.25	77.73	55.97	136.85	45.68	46.85	404.10	704.88	796.88	0.00
Arlet.a_15	42.21	62.76	40.88	223.55	48.68	73.89	69.90	154.11	57.82	42.92	50.89	125.25	49.75	62.86	50.22	57.20	58.29	87.03	49.04	517.34	48.91	38.88	31.79	60.35	50.10	250.45	60.72	515.26	56.13	495.52	37.54	827.05	793.78	27.87	68.59	395.89	82.45	12.05	36.23	39.61	37.34	57.55	519.04	44.05	8.39	1473.40	851.32	64.54	69.77	69.38	57.44	65.61	60.26	70.36	69.21	55.21	64.28	64.08	59.91	70.79	208.14	65.39	62.80	45.32	108.90	36.72	35.99	304.92	569.30	717.90	0.00
Arlet_13No1	79.08	108.14	75.75	394.73	80.53	112.27	139.57	257.91	104.26	78.99	76.91	252.35	99.79	104.60	91.33	64.03	117.52	234.69	130.83	716.16	99.72	67.61	53.77	94.09	86.68	486.94	118.89	960.11	96.11	980.50	82.19	1523.27	1042.90	45.32	133.17	629.76	154.04	28.80	40.70	98.30	67.08	102.25	1029.98	88.69	14.51	2696.81	2469.82	123.07	133.14	124.54	121.34	120.48	124.06	127.86	128.53	120.02	119.39	116.99	113.26	130.61	367.31	120.37	111.37	83.26	199.02	61.12	60.13	512.86	1054.31	1132.31	0.00
Arlet_13No2	111.55	150.47	104.00	384.08	115.83	161.19	188.10	271.96	139.34	110.52	120.45	286.28	146.41	147.84	127.15	88.13	155.85	216.13	157.79	894.37	136.73	99.03	74.38	137.79	119.51	457.14	166.99	670.15	138.86	743.54	115.06	1120.30	844.18	64.00	189.55	494.08	220.26	41.42	60.18	131.04	95.25	140.18	1168.71	116.05	23.80	1986.22	1819.92	168.56	179.85	170.00	169.96	168.20	168.14	186.18	171.05	160.95	166.23	162.47	154.55	175.35	358.55	165.08	156.21	113.60	215.27	84.95	85.21	440.01	1371.63	1413.62	0.00
Arlet_13No8	98.55	132.46	88.30	363.32	104.82	150.20	160.27	274.76	126.78	97.90	102.14	269.33	120.78	133.53	112.01	81.00	134.97	189.98	126.10	638.12	113.50	90.48	65.23	114.07	106.08	442.79	140.09	651.15	128.93	766.18	99.88	1310.56	917.88	57.65	160.38	510.92	195.16	36.92	60.23	111.44	85.95	125.86	1044.14	110.65	20.49	2156.24	1703.19	144.70	154.28	148.93	143.86	142.30	145.94	153.26	149.86	140.98	142.33	141.57	136.55	154.26	345.93	145.74	137.95	98.99	201.89	75.32	73.69	444.06	1191.28	930.02	0.00
BAV_OBER_2	139.18	135.71	98.75	248.38	123.92	153.02	155.16	184.50	113.84	134.42	123.18	196.69	105.51	100.63	124.67	90.57	123.59	141.09	62.24	1284.08	111.19	88.62	95.98	106.79	109.51	246.34	162.97	220.13	126.80	332.41	77.65	556.80	393.52	70.39	118.67	189.31	188.09	32.68	109.88	72.75	73.50	112.37	832.90	91.11	71.02	923.70	228.91	136.07	168.63	163.69	135.44	132.66	137.95	147.13	164.88	133.72	134.76	142.74	133.03	147.50	203.58	137.98	133.02	125.33	149.09	95.49	111.18	210.59	1049.94	1003.26	0.16
BAV_OBER_3	157.96	147.25	108.11	352.20	139.09	170.27	175.85	225.66	131.76	151.49	137.25	236.44	123.07	110.22	145.77	93.68	141.19	169.15	74.35	1002.92	124.24	105.42	106.82	120.00	125.28	355.92	179.33	379.41	147.81	556.92	89.93	1008.48	649.76	75.15	129.42	244.52	209.00	39.06	127.68	83.88	80.16	131.48	1210.61	106.64	80.48	2055.23	948.34	152.89	191.48	159.85	152.48	154.44	155.60	167.07	156.81	149.98	151.11	152.20	148.51	167.13	300.23	155.64	148.80	139.83	191.69	88.66	113.09	358.52	1252.42	930.70	0.00
BEW2_CH	124.29	100.93	104.47	303.71	117.41	81.15	131.47	318.12	101.40	78.67	73.23	244.31	106.70	74.75	136.01	61.75	131.17	366.26	70.49	768.39	97.15	78.46	68.45	76.95	69.21	273.73	150.31	791.21	86.64	888.37	97.88	623.44	763.43	40.52	93.42	759.30	146.14	83.84	56.02	142.06	75.31	97.57	1008.25	93.29	136.53	662.91	725.02	114.30	172.19	157.91	115.66	117.74	114.35	116.02	117.27	113.52	114.55	112.45	140.58	122.10	227.87	117.54	106.18	111.06	146.35	57.50	63.85	351.37	956.47	577.41	0.32
BLI1_CH	54.98	39.22	34.97	115.13	38.14	48.41	45.54	105.52	43.09	37.18	43.13	93.58	33.02	32.75	43.24	29.44	41.92	74.96	12.32	93.50	43.26	34.34	31.73	34.45	33.67	128.68	42.00	159.59	40.20	225.01	29.76	468.87	227.79	25.30	46.33	123.64	57.71	28.46	35.65	35.77	30.31	40.35	325.41	35.62	27.06	757.41	455.18	41.52	48.03	60.67	44.60	42.08	44.17	43.46	58.90	41.88	42.73	42.39	54.37	46.70	99.16	45.06	41.05	45.64	60.13	35.43	30.06	126.22	455.76	90.32	0.00
BR1_CH	63.43	74.27	59.96	320.68	59.17	72.84	99.43	201.03	74.41	61.10	59.04	184.48	78.43	79.03	76.19	40.33	99.37	203.79	40.17	815.02	61.89	52.41	59.60	69.17	60.01	315.78	86.52	976.80	53.93	521.62	70.45	916.79	936.10	32.36	67.86	592.97	101.94	20.22	67.15	108.98	34.27	63.34	742.35	57.69	42.67	1808.93	314.44	89.03	102.00	92.56	87.59	93.37	87.65	93.74	93.93	69.85	84.73	84.92	76.49	93.44	232.62	88.63	80.32	74.80	145.80	44.77	42.32	301.03	768.06	912.45	0.00
BdBE1	101.21	87.13	32.59	247.18	99.19	112.76	124.36	183.49	84.99	63.23	82.38	150.36	91.61	69.36	72.87	68.26	78.46	156.06	42.20	692.99	81.06	63.13	65.48	91.33	71.24	255.86	119.83	563.39	87.27	376.03	55.29	447.70	641.73	46.09	118.12	395.69	126.17	19.33	78.42	58.60	45.96	76.71	715.76	60.39	60.06	912.17	640.65	89.81	129.48	96.59	91.60	115.88	91.74	96.87	96.16	87.87	94.94	90.89	88.32	101.67	169.29	95.31	84.79	85.95	128.73	53.51	87.24	154.30	837.03	892.33	0.00
BdBE2	113.71	77.78	73.38	217.53	77.41	83.39	77.43	159.26	86.10	57.88	85.38	119.22	42.50	66.68	77.57	60.66	68.19	62.48	15.49	495.48	70.91	64.44	84.30	69.19	64.44	162.57	94.49	167.23	72.93	233.37	43.53	548.30	374.81	54.00	51.58	131.87	111.44	40.70	92.99	62.43	42.40	65.29	646.31	55.77	61.19	1149.38	470.75	78.09	104.27	102.94	86.19	87.67	81.50	82.28	83.50	78.60	81.41	80.40	79.01	90.92	175.82	84.04	95.70	85.49	104.56	47.27	59.05	200.50	764.68	653.33	0.00
BdBE3	114.17	90.82	74.70	317.13	73.21	149.37	107.70	206.39	84.40	71.22	86.58	172.22	69.91	68.43	69.15	70.90	76.60	126.63	45.00	934.79	111.88	52.91	90.61	72.22	76.71	348.68	96.04	724.12	84.63	492.63	52.67	581.89	860.10	52.61	71.45	487.93	132.97	28.12	90.64	76.11	43.54	73.62	711.42	61.49	51.00	982.00	222.15	86.44	95.70	93.27	89.69	88.90	93.01	96.29	97.82	89.96	95.00	92.58	93.46	104.80	196.00	96.52	92.98	89.05	142.85	55.61	54.53	281.90	861.49	1012.11	0.00
BdBE4	54.08	34.85	19.58	83.39	39.03	20.46	35.21	110.74	38.31	28.17	36.61	60.74	26.78	26.85	38.09	26.18	39.57	46.86	7.87	447.49	28.49	29.46	23.91	34.32	28.21	149.21	41.78	127.09	31.08	199.28	27.70	147.95	338.00	20.39	35.99	210.48	46.45	28.55	24.59	30.03	18.72	29.71	259.00	31.59	23.12	94.04	178.96	45.50	53.52	49.05	37.10	44.46	43.22	36.36	37.28	33.47	36.80	34.03	36.81	38.12	83.76	45.25	36.09	44.06	47.21	21.11	29.77	168.99	331.83	613.16	0.00
BdBE5	54.97	42.39	29.46	78.83	37.16	65.14	45.68	68.08	38.83	31.29	41.69	63.06	33.27	23.52	46.54	27.52	37.08	27.16	7.21	486.08	51.79	19.40	24.92	34.53	35.33	78.00	56.39	70.95	43.67	111.57	39.35	350.83	173.43	29.63	39.69	31.15	62.08	8.34	29.52	39.17	17.41	43.74	406.58	20.97	6.16	592.65	398.54	42.74	52.73	44.57	42.67	43.07	44.61	46.11	42.70	41.96	42.83	42.45	42.00	46.87	90.32	45.90	39.76	45.26	46.38	24.42	21.26	109.04	369.39	493.00	0.00
BdBE6	56.64	44.29	33.93	85.99	36.03	67.13	46.07	72.01	40.57	32.19	45.08	68.05	36.68	24.39	44.77	29.46	41.81	29.13	7.23	429.51	54.31	19.91	24.59	37.47	40.65	82.71	53.09	81.62	44.17	131.42	40.02	418.22	197.59	31.35	40.41	36.37	65.48	9.57	31.02	40.41	21.21	47.72	465.74	20.34	6.83	729.52	476.08	45.85	51.61	47.77	46.01	45.80	48.26	48.88	46.05	45.52	46.02	46.23	44.87	50.12	102.24	47.09	47.01	46.25	51.51	26.67	19.97	130.17	401.55	425.26	0.00
BdNL1	31.08	45.15	30.38	85.33	37.32	58.93	50.65	72.43	48.84	34.03	41.49	73.66	36.92	28.61	36.44	27.96	36.51	54.55	23.99	424.91	36.93	33.98	34.05	33.75	38.01	120.21	50.69	141.78	37.12	156.91	26.15	257.17	246.09	18.61	48.60	114.09	56.75	10.04	24.66	27.24	25.05	38.20	324.06	34.17	7.25	484.63	293.97	39.92	51.71	49.55	46.91	46.92	48.15	50.58	45.51	38.79	43.53	43.44	41.50	50.43	90.07	48.79	34.60	33.89	54.09	25.44	28.20	115.85	377.87	450.80	0.00
Bd_Aus1	63.05	46.66	54.72	95.95	56.37	57.36	59.88	95.20	42.14	22.01	52.13	80.89	49.10	35.11	52.02	34.03	41.72	66.68	25.35	966.63	42.90	27.54	42.88	53.17	38.42	113.80	71.84	120.48	46.19	188.04	27.27	424.25	234.04	20.95	28.01	97.60	68.75	11.22	54.52	39.31	21.11	40.85	326.00	34.16	25.74	717.62	338.10	47.73	72.59	72.89	47.94	61.29	49.22	50.59	65.02	47.08	48.17	48.13	48.04	52.52	107.85	59.81	48.49	59.55	62.59	38.84	42.95	154.98	474.73	830.90	0.00
Bd_Aus2	73.96	102.41	47.77	90.11	56.43	41.87	56.02	88.31	63.25	34.94	55.14	91.25	54.66	50.44	57.32	44.63	48.59	53.65	32.10	991.68	37.69	46.72	33.63	66.32	44.56	114.42	71.18	112.72	51.59	144.86	37.05	347.02	223.74	26.41	34.58	91.24	75.50	34.80	55.83	46.41	36.69	54.59	410.52	50.92	8.14	556.24	364.25	53.34	72.15	72.74	53.20	68.91	55.20	54.04	54.48	52.96	53.24	53.27	53.01	75.20	111.84	70.40	36.95	70.74	68.86	33.51	37.99	115.38	515.06	804.66	0.00
Bd_Aus3	31.13	28.26	21.79	53.19	34.31	32.09	39.24	47.11	32.38	26.97	39.43	41.00	29.58	15.62	30.98	18.77	22.55	31.72	16.26	276.49	26.82	29.44	23.15	24.62	21.26	71.11	28.51	80.64	21.24	84.40	22.40	221.05	131.02	11.96	24.99	49.67	56.32	10.89	11.56	6.03	26.18	26.91	315.04	23.40	26.55	335.28	169.65	31.03	43.44	46.51	29.88	31.26	30.38	31.70	31.71	28.85	30.32	31.94	35.91	35.62	54.01	32.02	30.80	26.82	28.47	19.17	14.50	54.00	595.05	401.46	0.00
Bd_Aus4	46.70	36.86	20.87	64.28	41.19	37.28	38.61	66.35	33.04	27.38	40.36	52.65	28.99	19.00	46.88	24.13	32.66	38.25	26.62	1181.82	31.01	16.92	29.83	40.41	29.06	77.88	55.80	68.45	34.64	106.98	21.08	240.77	137.02	23.93	33.88	59.03	54.32	20.73	29.06	27.39	13.93	37.11	258.22	15.30	23.09	390.09	268.14	36.76	56.06	56.69	36.64	36.34	38.59	38.35	54.55	36.31	36.84	37.36	36.75	40.45	71.33	37.49	25.31	37.86	43.07	33.17	26.98	91.90	398.90	960.21	0.00
Bd_Aus5	49.90	41.65	18.94	69.86	33.80	39.43	34.87	68.31	33.74	31.75	40.48	52.55	33.85	36.91	29.16	25.16	36.55	42.71	31.77	1013.62	34.34	21.26	31.06	40.22	31.42	85.11	47.68	93.75	38.97	137.39	21.17	363.18	169.26	26.68	36.24	74.38	56.58	34.77	33.95	25.67	9.16	34.12	231.73	31.20	25.89	515.36	304.69	41.17	43.39	61.84	41.26	40.94	42.07	41.41	41.96	40.91	40.94	41.52	39.90	44.50	82.63	41.87	22.68	41.21	45.25	25.21	29.54	112.00	355.23	968.09	0.00
Bd_Aus6	50.99	44.12	33.82	79.82	49.70	51.90	37.56	76.50	39.93	32.17	45.51	67.76	51.45	41.45	55.75	28.89	40.15	47.90	17.74	517.48	52.63	29.70	29.85	59.66	34.46	90.50	65.97	136.00	14.58	178.72	24.94	489.72	180.78	24.63	28.30	95.46	55.33	36.34	47.00	39.02	19.60	39.79	341.91	22.70	30.43	480.17	211.89	44.03	66.89	46.16	44.14	64.03	45.22	44.27	45.15	43.09	44.18	44.13	43.35	47.46	85.97	45.04	24.53	45.03	49.28	27.27	35.20	107.70	374.89	1005.44	0.00
Bd_Aus8	48.78	32.91	32.71	88.68	41.17	41.07	37.38	117.97	43.91	31.25	40.53	65.41	37.06	34.55	47.86	25.28	31.28	46.08	17.62	1293.71	33.25	43.34	32.73	43.95	27.06	130.28	59.99	91.84	51.46	253.12	19.21	187.13	214.98	25.01	50.12	264.61	75.06	28.97	33.18	28.00	19.68	31.03	231.07	41.69	23.27	283.40	187.42	33.64	52.00	51.96	33.75	48.31	35.60	35.09	49.48	48.66	34.15	34.13	36.52	37.48	90.47	34.38	34.87	35.82	56.22	30.68	28.83	210.30	408.43	894.51	0.00
Bd_Aus9	90.35	71.42	80.99	133.45	57.97	73.19	68.90	159.42	65.15	58.04	75.93	111.55	81.08	51.66	58.51	43.76	61.48	85.85	31.17	1453.02	63.37	42.40	57.78	86.78	54.47	172.77	83.96	221.43	72.28	307.98	37.78	669.74	341.99	34.51	89.84	174.10	102.91	40.18	30.37	47.81	40.09	56.84	477.33	53.49	47.84	762.37	552.72	71.39	74.89	75.28	71.49	104.86	73.74	74.57	74.15	70.95	71.36	72.43	71.73	78.57	148.95	73.74	72.70	74.50	86.73	44.15	49.82	230.49	655.54	1144.18	0.00
Bd_JEL253	69.69	41.96	35.67	141.56	46.57	44.68	49.33	186.02	56.03	46.09	45.95	81.62	49.04	30.72	59.46	29.02	39.37	47.72	18.00	1412.12	39.85	49.76	38.07	59.93	35.00	225.33	65.89	145.62	42.55	433.63	36.41	427.10	419.62	29.16	44.80	419.00	62.67	23.18	34.34	34.97	22.07	26.80	356.83	38.82	29.34	682.61	558.26	42.43	66.12	66.78	42.59	61.91	45.53	45.02	64.32	42.65	43.55	42.89	43.27	47.90	156.14	64.82	43.75	64.66	73.83	38.39	24.94	412.98	486.47	1177.27	0.00
Bd_RTP5	92.20	70.68	56.60	143.31	78.97	68.16	65.22	113.81	64.37	34.75	74.92	104.77	57.46	49.15	104.18	45.23	67.69	48.78	83.89	955.51	66.13	50.75	62.03	59.27	55.21	141.41	114.66	108.04	64.39	140.79	17.26	273.16	191.82	46.76	73.26	100.12	106.86	64.47	62.97	51.23	40.53	64.13	455.20	58.44	47.28	414.17	187.19	73.30	116.89	109.47	73.01	72.45	74.53	73.49	99.76	72.01	73.23	73.22	72.75	78.36	107.31	74.08	72.25	73.15	79.10	58.38	54.61	92.95	694.61	1073.04	0.00
CCB1	108.07	57.14	49.94	197.07	62.48	105.94	100.57	169.70	70.11	70.76	50.44	145.04	66.75	67.26	61.88	65.60	72.97	250.30	38.23	641.77	51.56	33.18	79.71	56.19	31.59	323.58	108.31	339.09	57.53	284.80	64.43	208.71	518.23	47.48	63.33	279.18	141.61	42.30	68.08	40.12	29.86	72.28	675.97	56.20	40.43	262.91	127.77	81.74	87.78	85.70	81.09	84.00	62.06	61.28	84.38	78.55	83.78	80.71	77.14	80.10	122.58	88.00	60.25	75.93	105.20	49.63	63.69	211.78	631.43	570.10	114.34
